FrameNum      8 
Ball254-276   27712771277127712771277127712771277127712771277127712771277127712771277127712771277127712771
Ball277-299   19871987198719871987198719871987198719871987198719871987198719871987198719871987198719871987
Ball300-322   13051305130513051305130513051305130513051305130513051305130513051305130513051305130513051305
Ball323-345   07490749074907490749074907490749074907490749074907490749074907490749074907490749074907490749
Ball346-368   03380338033803380338033803380338033803380338033803380338033803380338033803380338033803380338
Ball369-391   00850085008500850085008500850085008500850085008500850085008500850085008500850085008500850085
Ball392-414   00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ball415-437   00850085008500850085008500850085008500850085008500850085008500850085008500850085008500850085
Ball438-460   03380338033803380338033803380338033803380338033803380338033803380338033803380338033803380338
Ball461-483   07490749074907490749074907490749074907490749074907490749074907490749074907490749074907490749
Ball484-506   13051305130513051305130513051305130513051305130513051305130513051305130513051305130513051305
Ball507-529   19871987198719871987198719871987198719871987198719871987198719871987198719871987198719871987
Ball530-552   27712771277127712771277127712771277127712771277127712771277127712771277127712771277127712771
Ball553-575   36323632363236323632363236323632363236323632363236323632363236323632363236323632363236323632
Ball576-598   45394539453945394539453945394539453945394539453945394539453945394539453945394539453945394539
Ball599-621   54615461546154615461546154615461546154615461546154615461546154615461546154615461546154615461
Ball622-644   63686368636863686368636863686368636863686368636863686368636863686368636863686368636863686368
Ball645-667   72297229722972297229722972297229722972297229722972297229722972297229722972297229722972297229
Ball668-690   80138013801380138013801380138013801380138013801380138013801380138013801380138013801380138013
Ball691-713   86958695869586958695869586958695869586958695869586958695869586958695869586958695869586958695
Ball714-736   92519251925192519251925192519251925192519251925192519251925192519251925192519251925192519251
Ball737-759   96629662966296629662966296629662966296629662966296629662966296629662966296629662966296629662
Ball760-782   99159915991599159915991599159915991599159915991599159915991599159915991599159915991599159915
Ball783-805   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
Frame         4
Ball001-023   85358535853585358535853585358535853585358535853585358535853585358535853585358535853585358535  
Ball024-046   78257825782578257825782578257825782578257825782578257825782578257825782578257825782578257825
Ball047-069   70197019701970197019701970197019701970197019701970197019701970197019701970197019701970197019
Ball070-092   61446144614461446144614461446144614461446144614461446144614461446144614461446144614461446144
Ball093-115   52305230523052305230523052305230523052305230523052305230523052305230523052305230523052305230
Ball116-138   43094309430943094309430943094309430943094309430943094309430943094309430943094309430943094309
Ball139-161   34113411341134113411341134113411341134113411341134113411341134113411341134113411341134113411
Ball162-184   25672567256725672567256725672567256725672567256725672567256725672567256725672567256725672567
Ball185-207   18051805180518051805180518051805180518051805180518051805180518051805180518051805180518051805
Ball208-230   11531153115311531153115311531153115311531153115311531153115311531153115311531153115311531153
Ball231-253   06310631063106310631063106310631063106310631063106310631063106310631063106310631063106310631
Ball254-276   02590259025902590259025902590259025902590259025902590259025902590259025902590259025902590259
Ball277-299   00470047004700470047004700470047004700470047004700470047004700470047004700470047004700470047
Ball300-322   00050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005
Ball323-345   01320132013201320132013201320132013201320132013201320132013201320132013201320132013201320132
